Gender,Age,Region,Parental_Education,Family_Income,Distance_from_School,Internet_Access,Absences,Failures,Study_Time_Category,G1,G2,G3,Family_Support,School_Support,Activities,Dropout_Risk
Female,15,Urban,Secondary,34135,9.7,Yes,7,2,1,11,16,13,Yes,Yes,No,Medium
Female,18,Urban,Secondary,25044,0.5,Yes,6,2,3,12,7,17,Yes,No,Yes,Medium
Male,19,Urban,Primary,21060,9.0,Yes,3,2,1,4,19,9,Yes,Yes,No,Medium
Male,19,Rural,Secondary,28911,4.0,Yes,1,2,2,4,14,2,Yes,No,Yes,High
Male,15,Urban,Secondary,27678,3.5,No,6,0,2,16,12,5,Yes,No,No,Low
Male,16,Urban,None,14101,0.5,Yes,6,0,2,4,20,8,Yes,No,Yes,Low
Female,16,Urban,Higher,70626,6.4,Yes,5,0,1,18,18,13,Yes,No,No,Low
Female,18,Rural,Primary,42118,0.5,Yes,5,0,4,3,0,20,No,Yes,Yes,Low
Male,18,Urban,Secondary,33665,7.5,No,3,0,2,6,11,20,Yes,Yes,Yes,Low
Female,18,Rural,Secondary,31348,0.5,No,7,0,2,16,17,7,Yes,No,Yes,Medium
Male,16,Urban,Secondary,48035,0.9,No,9,0,3,10,17,0,No,Yes,Yes,Medium
Male,17,Rural,Primary,61133,1.4,Yes,2,1,3,5,2,2,Yes,Yes,No,Medium
Male,19,Rural,Secondary,40276,2.9,No,10,1,1,12,17,5,Yes,No,No,Medium
Male,17,Urban,Secondary,31817,7.8,Yes,6,0,3,11,16,0,Yes,No,No,Low
Female,17,Urban,Secondary,52089,9.5,Yes,6,0,2,4,10,17,Yes,No,Yes,Low
Male,16,Urban,Higher,32135,3.2,Yes,4,0,1,9,4,9,Yes,No,Yes,Low
Female,17,Urban,Secondary,36529,4.9,Yes,5,0,3,10,6,16,Yes,No,Yes,Low
Female,15,Rural,None,45015,6.5,No,5,0,4,8,17,20,Yes,No,Yes,Low
Male,18,Urban,Primary,24202,4.0,Yes,8,1,1,12,6,0,No,Yes,No,Medium
Female,15,Urban,Primary,5000,6.4,Yes,1,0,2,2,17,7,Yes,Yes,Yes,Low
Female,19,Urban,Primary,23473,5.0,Yes,3,1,2,16,1,11,Yes,No,No,Low
Male,18,Rural,Primary,41595,4.2,Yes,4,0,2,17,5,18,No,Yes,No,Low
Female,17,Urban,Primary,40538,0.7,Yes,4,0,4,4,7,13,Yes,No,No,Low
Male,19,Urban,Primary,50140,5.4,Yes,3,1,3,15,20,18,No,No,No,Low
Male,18,Urban,None,24047,7.9,Yes,11,0,3,15,20,16,Yes,No,Yes,Low
Male,17,Rural,None,53713,2.7,Yes,7,0,2,10,16,15,Yes,No,Yes,Low
Female,15,Rural,Primary,32776,0.5,No,5,1,2,3,3,18,Yes,No,No,Low
Female,18,Urban,Primary,39066,4.0,No,4,0,2,8,16,4,Yes,Yes,No,Low
Male,17,Urban,Secondary,43554,9.5,No,5,0,2,14,15,18,No,Yes,Yes,Low
Male,15,Urban,Secondary,9275,8.6,No,6,0,3,11,20,3,Yes,Yes,Yes,Medium
Female,19,Urban,Primary,14926,3.3,Yes,4,1,2,15,14,4,Yes,Yes,No,Medium
Male,19,Rural,Secondary,14428,6.4,No,8,0,2,3,14,4,Yes,Yes,Yes,Medium
Male,19,Rural,Primary,46083,6.8,Yes,6,1,3,2,7,0,Yes,No,No,Medium
Female,19,Urban,Primary,25418,9.5,No,7,0,3,20,16,17,Yes,Yes,Yes,Low
Female,16,Rural,None,60413,0.5,Yes,5,0,1,3,18,14,Yes,Yes,No,Low
Male,18,Urban,Secondary,30050,1.8,No,5,0,3,1,0,20,No,Yes,No,Low
Female,18,Rural,Secondary,7929,0.5,Yes,5,0,2,18,12,18,Yes,Yes,No,Low
Female,16,Rural,Primary,19913,3.0,Yes,1,0,3,6,5,13,Yes,Yes,Yes,Low
Male,17,Urban,Primary,31760,8.2,Yes,5,0,2,1,9,5,Yes,Yes,No,Low
Female,17,Rural,Higher,37727,3.3,Yes,5,0,2,0,0,17,No,No,No,Low
Male,19,Urban,Primary,15227,1.1,No,4,0,3,17,11,7,Yes,Yes,No,Low
Female,15,Urban,Primary,38527,5.7,Yes,8,2,2,7,18,4,Yes,Yes,Yes,Medium
Female,17,Urban,Higher,42533,5.8,Yes,4,0,1,7,14,7,Yes,Yes,Yes,Low
Female,15,Urban,Higher,20385,1.9,No,5,2,2,9,20,5,Yes,No,Yes,High
Male,18,Rural,Secondary,59537,3.5,Yes,8,2,1,17,4,9,Yes,No,Yes,Medium
Female,15,Rural,Secondary,22010,5.5,Yes,4,0,3,10,1,2,Yes,No,No,Low
Male,18,Rural,Primary,15001,7.2,Yes,9,0,1,0,18,12,Yes,No,Yes,Low
Male,16,Rural,None,7061,3.1,Yes,8,0,2,6,13,6,Yes,Yes,No,Medium
Male,16,Rural,Secondary,48309,2.6,No,5,3,3,7,8,3,No,Yes,Yes,High
Female,19,Urban,None,30343,10.7,No,5,0,2,13,0,12,Yes,Yes,Yes,Low
Female,17,Urban,Secondary,22810,4.2,No,6,3,2,18,12,5,No,No,No,High
Male,19,Urban,Higher,7887,5.7,Yes,9,0,2,7,16,15,Yes,Yes,No,Low
Female,18,Rural,Higher,24161,6.9,Yes,5,2,2,18,1,20,Yes,No,No,Medium
Male,19,Rural,Primary,65721,0.5,Yes,6,0,1,3,13,0,Yes,Yes,No,Medium
Female,15,Urban,Secondary,5000,4.9,No,7,2,3,9,19,12,Yes,Yes,No,High
Male,18,Rural,Secondary,20525,0.5,Yes,8,0,3,9,5,1,No,Yes,No,Medium
Female,16,Rural,Higher,56891,4.6,Yes,7,0,3,3,5,19,Yes,No,No,Low
Male,17,Urban,Primary,48734,9.1,Yes,3,0,3,7,17,18,Yes,Yes,No,
Female,18,Urban,None,21440,2.0,Yes,4,0,4,6,18,5,Yes,No,Yes,Low
Male,18,Urban,Primary,33053,0.5,No,2,0,4,14,8,10,Yes,Yes,No,Low
Male,15,Urban,Primary,36944,10.7,Yes,5,0,3,7,14,16,Yes,Yes,No,Low
Male,17,Urban,Primary,32007,1.6,Yes,5,0,3,9,6,8,Yes,Yes,Yes,Low
Female,16,Urban,Secondary,56766,0.5,Yes,3,0,3,6,5,4,Yes,Yes,Yes,Low
Female,18,Urban,Secondary,35096,9.9,No,3,0,1,18,4,4,No,Yes,No,Low
Male,18,Urban,Primary,47032,1.4,Yes,6,0,1,2,18,15,Yes,Yes,No,Low
Female,15,Rural,Secondary,32723,9.9,Yes,7,1,1,8,19,3,Yes,Yes,No,Medium
Female,19,Urban,None,5000,5.8,Yes,4,0,4,15,0,19,Yes,No,Yes,Low
Female,16,Rural,Higher,12113,8.9,Yes,7,0,3,13,20,12,Yes,Yes,Yes,Low
Female,17,Urban,Higher,15226,5.6,No,5,0,3,6,6,16,Yes,Yes,Yes,Low
Male,18,Urban,Higher,26260,8.2,Yes,2,2,2,11,17,8,Yes,No,No,Medium
Male,18,Rural,Higher,61176,2.2,No,5,0,2,0,7,12,Yes,No,No,Low
Female,16,Urban,Primary,35436,3.2,Yes,3,1,1,15,11,15,Yes,Yes,No,Low
Female,19,Urban,None,28413,0.5,No,4,0,3,2,9,19,Yes,No,Yes,Low
Female,18,Rural,Secondary,48578,7.9,No,4,1,3,0,5,9,Yes,No,Yes,Medium
Male,16,Urban,Higher,8221,6.3,Yes,3,0,3,5,15,9,Yes,Yes,Yes,Low
Male,15,Urban,Primary,22654,2.0,Yes,3,1,1,1,18,19,Yes,Yes,No,Low
Female,19,Urban,None,20440,0.5,Yes,7,0,1,6,17,15,Yes,Yes,Yes,Low
Female,17,Urban,Higher,35970,5.8,Yes,2,0,2,7,12,19,Yes,Yes,Yes,
Female,18,Urban,None,43437,10.0,Yes,1,0,2,12,19,0,Yes,No,Yes,Low
Female,16,Urban,Secondary,37072,4.6,Yes,4,2,3,15,6,10,No,Yes,No,Medium
Female,15,Rural,Secondary,37309,3.0,No,3,1,1,20,6,12,Yes,Yes,Yes,Medium
Male,17,Rural,Primary,24583,2.2,Yes,5,2,2,9,15,17,No,No,Yes,Medium
Male,16,Rural,None,34811,8.7,No,4,0,2,3,9,4,Yes,No,No,Medium
Female,16,Rural,Secondary,17402,2.7,Yes,5,0,2,20,14,3,Yes,Yes,No,Medium
Female,17,Rural,Secondary,40112,3.9,Yes,4,0,2,12,13,5,Yes,No,No,Low
Male,15,Urban,Higher,22490,8.1,No,7,0,4,16,11,14,Yes,No,Yes,Low
Male,15,Rural,Primary,13177,6.9,Yes,4,1,2,7,14,1,Yes,No,No,High
Female,19,Rural,None,30567,4.0,Yes,10,0,3,7,7,3,Yes,Yes,No,Medium
Male,18,Rural,Secondary,5000,2.9,No,4,0,1,6,6,13,Yes,Yes,No,Low
Male,17,Urban,Secondary,52115,9.4,No,7,0,3,0,20,3,Yes,Yes,Yes,Medium
Female,17,Urban,Primary,41956,1.7,Yes,3,1,2,14,8,17,Yes,Yes,Yes,Low
Female,17,Urban,Secondary,35054,4.4,Yes,4,0,3,14,13,19,Yes,Yes,No,
Female,15,Rural,Primary,5644,0.5,Yes,5,3,2,18,6,15,Yes,No,No,High
Male,18,Urban,Primary,19497,8.6,Yes,7,0,1,3,11,8,Yes,Yes,No,Low
Female,19,Rural,None,30608,3.6,Yes,2,1,1,5,13,7,Yes,Yes,Yes,Medium
Male,16,Urban,Primary,26053,2.9,Yes,3,0,4,9,10,10,No,No,No,Low
Male,16,Urban,Secondary,5000,7.0,Yes,8,0,1,11,18,13,No,Yes,Yes,Low
Female,17,Urban,Secondary,10253,0.7,No,2,1,3,3,5,16,Yes,No,Yes,Low
Female,18,Urban,Secondary,25753,6.9,No,10,0,3,5,2,12,No,No,No,Low
Female,15,Urban,Higher,10750,3.9,Yes,3,0,2,13,5,7,Yes,No,Yes,Low
Female,18,Urban,Primary,50570,1.4,Yes,8,0,1,12,8,13,No,Yes,Yes,Low
Female,18,Rural,None,37418,2.0,Yes,4,0,1,20,1,10,Yes,No,No,Low
Male,15,Urban,None,17948,2.9,Yes,10,1,2,2,5,8,No,No,Yes,Medium
Male,17,Urban,Primary,47537,3.7,Yes,4,0,2,20,13,7,Yes,No,No,Low
Male,18,Rural,Secondary,44515,1.4,Yes,8,1,3,14,18,13,Yes,No,No,Medium
Male,16,Rural,Secondary,34334,5.9,Yes,4,0,3,2,3,14,Yes,Yes,No,Low
Female,15,Rural,Secondary,29406,1.3,No,5,0,3,4,13,0,Yes,Yes,No,Medium
Male,19,Urban,Primary,25522,0.5,No,6,0,1,12,20,11,Yes,No,No,Low
Female,17,Rural,Primary,21900,10.8,No,5,2,3,14,9,4,Yes,No,Yes,High
Female,15,Rural,Secondary,9948,5.6,Yes,5,2,2,16,5,13,No,No,Yes,Medium
Female,19,Urban,None,52924,11.0,Yes,2,0,2,5,10,15,Yes,Yes,No,Low
Female,19,Urban,Secondary,22192,1.9,Yes,6,0,3,17,12,18,Yes,Yes,Yes,
Female,18,Urban,Higher,30423,6.4,No,5,1,3,2,17,15,Yes,Yes,No,Low
Female,18,Urban,Primary,16346,7.7,Yes,5,1,2,8,19,6,Yes,No,Yes,Medium
Male,18,Rural,Secondary,26108,4.4,Yes,3,1,3,7,13,2,Yes,No,Yes,Medium
Female,15,Urban,Secondary,72761,0.7,Yes,5,0,2,19,19,7,Yes,Yes,Yes,Low
Male,15,Rural,Primary,19110,4.2,Yes,7,0,3,10,19,20,No,No,Yes,Low
Male,17,Urban,Secondary,51728,6.9,Yes,4,0,1,10,10,20,No,Yes,No,
Female,18,Urban,Primary,29582,6.8,Yes,4,0,1,7,20,13,Yes,Yes,No,Low
Male,19,Urban,None,40199,5.0,Yes,7,1,3,0,4,19,Yes,Yes,No,Low
Female,16,Urban,Secondary,48668,7.7,Yes,5,0,3,1,7,2,Yes,No,No,Low
Female,17,Rural,Higher,34084,7.6,Yes,5,1,2,19,3,10,Yes,No,No,Medium
Female,15,Rural,Primary,24724,3.4,Yes,3,0,3,3,11,13,Yes,Yes,No,Low
Male,17,Urban,Primary,27208,0.5,No,7,0,4,1,5,1,Yes,Yes,No,Medium
Male,17,Urban,Higher,27713,5.6,Yes,9,0,3,1,7,3,Yes,No,Yes,Low
Female,17,Urban,Higher,57965,2.8,Yes,8,0,3,12,3,20,Yes,Yes,Yes,
Male,17,Rural,Secondary,7738,5.4,Yes,7,0,3,20,19,4,Yes,No,No,Medium
Female,16,Urban,Primary,5000,9.0,No,5,0,3,19,9,18,Yes,No,No,Low
Female,18,Urban,Higher,5000,6.3,Yes,7,2,2,5,10,9,Yes,Yes,No,Medium
Female,19,Rural,Primary,16591,8.9,Yes,3,0,3,3,14,20,Yes,Yes,No,Low
Male,17,Rural,Secondary,40501,2.0,Yes,7,1,2,14,4,20,Yes,Yes,No,Low
Male,17,Urban,None,41421,8.3,Yes,13,3,1,2,2,1,Yes,Yes,No,High
Female,17,Urban,Secondary,20887,10.0,Yes,6,1,2,3,14,20,No,No,No,Low
Male,18,Rural,Primary,29572,5.2,Yes,5,1,1,16,1,2,Yes,Yes,Yes,Medium
Male,15,Rural,Secondary,13255,12.0,No,3,0,1,5,1,14,Yes,No,Yes,Low
Female,15,Urban,Primary,14646,2.4,No,8,0,4,1,7,18,Yes,Yes,No,Low
Female,16,Rural,Primary,38698,3.1,No,2,1,1,19,13,20,No,No,Yes,Low
Female,15,Rural,Secondary,45715,6.9,Yes,7,0,2,12,8,1,Yes,Yes,Yes,Medium
Female,17,Urban,Higher,22847,5.2,No,3,0,2,14,4,2,Yes,No,No,Low
Male,17,Urban,Higher,54525,2.8,Yes,6,2,2,4,11,11,Yes,No,Yes,Medium
Female,17,Urban,Primary,44484,6.9,Yes,2,0,2,18,9,13,Yes,Yes,No,Low
Female,16,Rural,Secondary,53875,6.1,No,6,3,2,5,0,16,Yes,Yes,No,High
Male,17,Urban,Secondary,25485,3.2,Yes,1,0,3,16,18,15,No,No,No,Low
Female,15,Rural,Primary,52810,5.6,Yes,7,1,2,0,10,16,Yes,Yes,No,Low
Female,18,Rural,None,62693,7.3,Yes,3,1,2,1,16,8,Yes,Yes,No,Medium
Female,18,Urban,Secondary,23812,3.2,Yes,6,0,2,0,2,2,Yes,No,Yes,Low
Female,19,Rural,Higher,27687,6.6,No,0,0,1,7,0,13,Yes,Yes,Yes,Low
Female,15,Rural,Secondary,15784,2.4,Yes,5,0,2,3,16,2,No,Yes,No,Medium
Male,17,Urban,Secondary,12836,3.0,Yes,5,0,1,17,5,5,No,No,No,Low
Male,18,Urban,Secondary,13011,8.3,Yes,5,2,2,8,12,20,Yes,No,Yes,Medium
Female,15,Urban,Primary,17828,6.8,No,5,0,3,14,19,18,Yes,Yes,No,Low
Female,18,Rural,Secondary,34121,0.5,Yes,5,0,2,15,3,12,No,Yes,No,Low
Female,17,Rural,Secondary,18462,3.9,Yes,2,0,3,20,4,4,Yes,No,Yes,Medium
Female,18,Urban,Primary,33662,6.5,No,6,0,1,2,14,0,Yes,Yes,No,Medium
Female,19,Rural,Higher,33972,5.4,Yes,5,0,3,0,13,11,No,No,Yes,Low
Female,19,Urban,Primary,22948,6.9,Yes,7,3,2,12,18,14,Yes,Yes,Yes,Medium
Female,18,Urban,Higher,29060,5.3,No,4,0,4,13,14,18,Yes,No,No,Low
Female,15,Urban,Primary,22081,4.6,Yes,9,0,1,5,11,1,Yes,Yes,No,Low
Female,15,Urban,Primary,25338,4.5,No,4,0,4,4,17,2,No,No,Yes,Low
Female,15,Urban,Primary,17867,8.3,Yes,2,1,3,4,13,6,Yes,Yes,No,Medium
Female,18,Urban,Secondary,31261,7.1,No,5,0,1,3,9,10,Yes,Yes,Yes,Low
Male,15,Urban,None,20991,6.2,No,5,0,4,20,7,9,Yes,Yes,Yes,Low
Male,17,Rural,Secondary,12509,5.3,Yes,6,0,1,11,3,7,No,Yes,Yes,Medium
Male,19,Urban,Secondary,38901,3.4,Yes,5,1,3,13,17,1,Yes,Yes,Yes,Medium
Female,17,Urban,Secondary,39409,4.1,No,2,0,3,13,7,13,Yes,No,Yes,Low
